text
거북목 대전 스냅사진 스냅 촬영 스냅 모델 카페 딸기 카페 바리스타 빈 좋아요 데일리룩 데일리 그램 데일리 데일리픽 셀프 셀카 좋아요 반사 종반 일상 소통
너무 오래 걸림 바리스타 빈 생딸기우유 비엔나커피 녹차라테 티라미슈 딸기 딸기 스타 그램 커피 커피 스타 그램 카페 카페니 스타 그램 맛스타 그램 먹스타그램 일상 소통
케이크 우유
앞으로 여기만 갈 거야 충남대 궁동 바리스타 빈 카페 존 예
오늘도 밀꾸티 준비되어있습니다 생각보다 찾는 분들이 많아지셔서 넉넉히 준비해놓을게요 궁동 밀고 티 가 다른 밀크티 시집보다 안 달아서 좋다고 하시는 손님분들이 많으세요 저도 너무 단 걸 싫어하는지라 좋은 말씀 감사드리오 요 차갑게 세팅이 되어있지만 따듯한 밀꾸티를 원하신다면 데워드릴게요 보틀 그대로 가져가시면 됩니다 대전 궁동 죽동 둔산동 핫플레이스 홍차 우유 밀크티 카페 궁동 딸기 바리스타 빈 궁동 카페 대전 카페 카페 카페 추천 카페니 스타 그램 충남대 카이스트 목원대 한남대 한밭대 폴로 팔로 미 맞팔 환영 커피 먹스타그램 인스타그램 대전맛집 둔산동 카페 밀크티
인 케이크를 해주시네요 손님분들 짱짱 케이크를 평일에도 많이 찾아주시니 저는 계속 빵과 크림들을 만든답니다 퀄리티 높은 케이크 만들도록 더욱 노력할게요 대전 궁동 죽동 둔산동 핫플레이스 아메리카노 딸기 케이크 맛 집 궁동 딸기 궁동 딸기 케이크 바리스타 빈 궁동 카페 대전 카페 카페 카페 추천 카페니 스타 그램 충남대 카이스트 목원대 한남대 한밭대 폴로 팔로 미 맞팔 환영 커피 먹스타그램 인스타그램 대전맛집 둔산동 카페 딸기 케이크
딸기 도쿄 바나나 티라미수가 모두 솔드아웃되어 만드는 중이니 양해 바라고요 최대한 만들고 있으니 이해 부탁드립니다 딸기 케이크 도쿄 바나나 쇼콜라 케이크 치즈케이크 티라미수 모두 모두 있습니다 대전 궁동 월평동 죽동 둔산동 핫플레이스 아메리카노 딸기 라테 생딸기 바리스타 빈 궁동 카페 대전 카페 카페 카페 추천 카페니 스타 그램 충남대 카이스트 목원대 한남대 한밭대 폴로 팔로 미 맞팔 환영 커피 먹스타그램 인스타그램 대전맛집 둔산동 카페 딸기 케이크
꾸 덕한 말차 쇼콜라에 진한 화이트초콜릿 상큼한 딸기까지 대전 궁동 월평동 죽동 둔산동 둔산동 카페 바리스타 빈 궁동 카페 대전 카페 카페 카페 추천 카페니 스타 그램 충남대 카이스트 목원대 한남대 한밭대 폴로 팔로 미 맞팔 환영 커피 먹스타그램 인스타그램 대전맛집 대전 케이크 대전맛집 충남대 카페 궁동 맛 집 궁동 밀고 티
충남대 바리스타 빈 대전
